trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
143,False,"{'a': 0.9, 'e': 0.23759255478829303}",35,12,26.279079793111066,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.9, 'e': 0.2352166292404101}",20,5,13.685828639838554,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.9, 'e': 0.232864462948006}",25,0,-82.77412518738431,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
146,False,"{'a': 0.9, 'e': 0.23053581831852593}",25,10,17.180723419376314,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.9, 'e': 0.22823046013534068}",20,0,-36.05081230079217,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
148,False,"{'a': 0.9, 'e': 0.22594815553398728}",20,11,-4.653069402241233,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.9, 'e': 0.22368867397864742}",25,16,5.649202697329107,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.9, 'e': 0.22145178723886094}",30,12,5.294273661497861,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
151,False,"{'a': 0.9, 'e': 0.21923726936647234}",25,15,6.001390853642596,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.9, 'e': 0.2170448966728076}",20,12,-27.183751063925293,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
153,False,"{'a': 0.9, 'e': 0.21487444770607952}",30,0,-30.73800433408728,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
154,False,"{'a': 0.9, 'e': 0.21272570322901874}",25,7,20.69165702448261,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.9, 'e': 0.21059844619672854}",35,17,15.955748941181572,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.9, 'e': 0.20849246173476127}",20,5,17.02498327423388,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.9, 'e': 0.20640753711741366}",30,19,-30.789487289654954,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
158,False,"{'a': 0.9, 'e': 0.20434346174623952}",25,5,2.976467058145182,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.9, 'e': 0.20230002712877712}",30,10,34.660811559017574,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.9, 'e': 0.20027702685748935}",25,15,-66.38519084517183,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
161,False,"{'a': 0.9, 'e': 0.19827425658891445}",30,16,-26.883882051410556,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
162,False,"{'a': 0.9, 'e': 0.1962915140230253}",20,3,-0.15033566070267823,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
163,False,"{'a': 0.9, 'e': 0.19432859888279505}",20,14,12.083197007937827,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.9, 'e': 0.1923853128939671}",25,11,24.058667974850437,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.9, 'e': 0.19046145976502743}",25,14,15.471647833400471,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.9, 'e': 0.18855684516737714}",30,4,-12.255717770461821,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 1}",1
167,False,"{'a': 0.9, 'e': 0.18667127671570335}",20,0,27.291083052734194,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.9, 'e': 0.18480456394854633}",20,4,15.057099964209321,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.9, 'e': 0.18295651830906087}",25,0,26.85112987792881,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.9, 'e': 0.18112695312597027}",20,14,-2.329021119354211,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.9, 'e': 0.17931568359471056}",30,18,-20.62298979796377,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
172,False,"{'a': 0.9, 'e': 0.17752252675876345}",30,19,21.04529981461178,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.9, 'e': 0.17574730149117582}",20,14,11.50129338914332,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.9, 'e': 0.17398982847626407}",20,10,13.981945200119235,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.9, 'e': 0.17224993019150142}",20,9,-21.382034295390962,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
176,False,"{'a': 0.9, 'e': 0.1705274308895864}",25,12,24.319685975732106,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.9, 'e': 0.16882215658069055}",20,14,12.408751420069596,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.9, 'e': 0.16713393501488363}",20,12,1.9708044985682642,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.9, 'e': 0.16546259566473479}",25,1,0.9841935594053002,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
180,False,"{'a': 0.9, 'e': 0.16380796970808745}",20,0,22.249285405481448,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
181,False,"{'a': 0.9, 'e': 0.16216989001100657}",25,20,9.55812661418512,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.9, 'e': 0.1605481911108965}",30,14,15.529373543732927,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.9, 'e': 0.15894270919978754}",20,5,-6.932607996940743,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
